FullName,ClubName,AgeGroup,Position,FIFARating,MinutesPlayed,GAContribution,FantasyScore,MarketValue,TransferStatus
Erling Haaland,Manchester City,21 and under,Forward,88,2767,45,7.8,180000000,Retained
Bukayo Saka,Arsenal,21 and under,Midfielder,82,3183,26,5.3,120000000,Retained
Declan Rice,West Ham United,22-25,Midfielder,84,3272,7,3.1,110000000,Transferred
Mohamed Salah,Liverpool,30 and above,Forward,90,3290,32,6.3,110000000,Retained
Phil Foden,Manchester City,22-25,Midfielder,85,1832,18,4.4,110000000,Retained
Jadon Sancho,Manchester United,22-25,Midfielder,84,1683,9,4,100000000,Transferred
Jack Grealish,Manchester City,26-29,Forward,84,2051,15,4.3,100000000,Retained
Kevin De Bruyne,Manchester City,30 and above,Midfielder,91,2413,25,5.7,100000000,Retained
Raheem Sterling,Chelsea,26-29,Forward,86,1886,10,3.6,100000000,Retained
Trent Alexander-Arnold,Liverpool,22-25,Midfielder,87,2922,13,4.2,100000000,Retained
Moisés Caicedo,Brighton & Hove Albion,21 and under,Midfielder,70,3138,2,2.1,90000000,Transferred
Martin Ødegaard,Arsenal,22-25,Midfielder,84,3132,23,5.7,90000000,Retained
Harry Kane,Tottenham Hotspur,26-29,Forward,89,3406,39,6.9,90000000,Transferred
Heung Min Son,Tottenham Hotspur,26-29,Forward,89,2886,16,4.2,85000000,Retained
Marcus Rashford,Manchester United,22-25,Forward,81,2880,24,5.9,85000000,Retained
Bernardo Mota Carvalho e Silva,Manchester City,26-29,Midfielder,88,2196,10,3.1,80000000,Retained
Rben Santos Gato Alves Dias,Manchester City,22-25,Defender,88,1997,0,3.1,80000000,Retained
Mason Mount,Chelsea,22-25,Midfielder,84,1644,7,3.4,75000000,Transferred
Bruno Miguel Borges Fernandes,Manchester United,26-29,Midfielder,86,3317,17,4.8,75000000,Retained
Gabriel Fernando de Jesus,Arsenal,22-25,Forward,83,2064,18,4.8,75000000,Retained
Luis Daz,Liverpool,22-25,Midfielder,84,991,6,3.6,75000000,Retained
William Saliba,Arsenal,21 and under,Defender,80,2415,3,4.3,75000000,Retained
Darwin Núñez,Liverpool,22-25,Forward,82,1684,14,3.4,70000000,Retained
João Pedro Cavaco Cancelo,Manchester City,26-29,Defender,88,1273,4,4.3,70000000,Retained
Raphaël Varane,Manchester United,26-29,Defender,84,1912,0,3.2,70000000,Retained
James Maddison,Leicester City,22-25,Midfielder,82,2479,19,4.5,70000000,Transferred
Kai Havertz,Chelsea,22-25,Midfielder,84,2565,8,2.9,70000000,Transferred
Alexander Isak,Newcastle United,22-25,Forward,80,1520,12,4.5,70000000,Retained
Andrew Robertson,Liverpool,26-29,Defender,87,2579,8,3.6,70000000,Retained
Carlos Henrique Venancio Casimiro,Manchester United,30 and above,Midfielder,89,2122,7,3.1,70000000,Retained
Gabriel Teodoro Martinelli Silva,Arsenal,21 and under,Midfielder,78,2789,24,5.5,70000000,Retained
Reece James,Chelsea,22-25,Defender,84,1242,3,2.8,70000000,Retained
Virgil van Dijk,Liverpool,30 and above,Defender,90,2835,4,4,70000000,Retained
Alexis Mac Allister,Brighton & Hove Albion,22-25,Midfielder,76,2882,12,4,65000000,Transferred
Alisson Ramses Becker,Liverpool,26-29,Goalkeeper,89,3330,1,4.4,65000000,Retained
Cristian Romero,Tottenham Hotspur,22-25,Defender,83,2363,2,2.4,65000000,Retained
Evan Ferguson,Brighton & Hove Albion,21 and under,Forward,59,942,8,3.4,65000000,Retained
Wesley Fofana,Chelsea,21 and under,Defender,79,1362,1,2.2,65000000,Retained
Bruno Guimarães Moura,Newcastle United,22-25,Midfielder,81,2727,9,3.3,60000000,Retained
Ollie Watkins,Aston Villa,26-29,Forward,78,3129,23,4.7,60000000,Retained
Wilfred Ndidi,Leicester City,22-25,Defender,84,1672,0,1.5,60000000,Retained
Ederson Santana de Moraes,Manchester City,26-29,Goalkeeper,89,3150,1,3.5,56000000,Retained
N'Golo Kanté,Chelsea,30 and above,Midfielder,89,517,1,2.6,55000000,Retained
Dejan Kulusevski,Tottenham Hotspur,22-25,Midfielder,81,2062,9,3.2,55000000,Transferred
Levi Colwill,Brighton & Hove Albion,21 and under,Defender,70,1218,2,2.7,55000000,Transferred
Youri Tielemans,Leicester City,22-25,Midfielder,84,2341,6,2.8,55000000,Transferred
Marc Cucurella Saseta,Chelsea,22-25,Defender,81,1669,2,2.7,55000000,Retained
Richarlison de Andrade,Tottenham Hotspur,22-25,Forward,81,995,6,2,55000000,Retained
Gabriel dos Santos Magalhães,Arsenal,22-25,Defender,81,3409,3,3.8,50000000,Retained
Julián Álvarez,Manchester City,22-25,Midfielder,78,1448,12,3.3,50000000,Retained
Aymeric Laporte,Manchester City,26-29,Defender,86,992,0,3.3,50000000,Transferred
Amadou Onana,Everton,21 and under,Midfielder,74,2486,4,2.3,50000000,Retained
Kalvin Phillips,Manchester City,26-29,Midfielder,81,291,0,1.2,50000000,Transferred
Anthony Gordon,Everton,21 and under,Midfielder,75,1574,4,2.1,50000000,Retained
Antony Matheus dos Santos,Manchester United,22-25,Midfielder,82,1803,6,3.3,50000000,Retained
Ben Chilwell,Chelsea,22-25,Defender,82,1402,5,3,50000000,Retained
Benjamin White,Arsenal,22-25,Midfielder,79,3054,7,4.1,50000000,Retained
C. Ronaldo dos Santos Aveiro,Manchester United,30 and above,Forward,90,519,1,2,50000000,Retained
Harry Maguire,Manchester United,26-29,Defender,81,762,0,2.4,50000000,Retained
Ivan Toney,Brentford,26-29,Forward,77,2953,24,5.5,50000000,Retained
Jarrod Bowen,West Ham United,22-25,Midfielder,80,3232,15,3.8,50000000,Retained
Kalidou Koulibaly,Chelsea,30 and above,Defender,87,1798,3,3.2,50000000,Retained
Kaoru Mitoma,Brighton & Hove Albion,22-25,Midfielder,74,2311,16,4.2,50000000,Retained
Lisandro Martnez,Manchester United,22-25,Midfielder,81,2113,1,3,50000000,Retained
Brennan Johnson,Nottingham Forest,21 and under,Midfielder,75,2930,13,3.2,48000000,Transferred
Eberechi Eze,Crystal Palace,22-25,Midfielder,76,2631,15,4.2,48000000,Retained
Tomá_ Sou_ek,West Ham United,26-29,Defender,81,2811,6,2.8,45000000,Retained
Cole Palmer,Manchester City,21 and under,Midfielder,67,358,1,1.4,45000000,Transferred
Dominic Calvert-Lewin,Everton,22-25,Forward,80,1166,3,2.4,45000000,Retained
Matheus Luiz Nunes,Wolverhampton Wanderers,22-25,Midfielder,79,2467,2,2.4,45000000,Retained
Sven Botman,Newcastle United,22-25,Defender,80,3127,2,3.6,45000000,Retained
Thomas Partey,Arsenal,26-29,Midfielder,84,2480,3,2.6,45000000,Retained
Nathan Aké,Manchester City,26-29,Defender,78,1871,1,3.5,42000000,Retained
Jacob Ramsey,Aston Villa,21 and under,Midfielder,75,2634,14,3.9,42000000,Retained
Luke Shaw,Manchester United,26-29,Defender,80,2552,5,4,42000000,Retained
Manuel Akanji,Manchester City,26-29,Defender,81,2284,1,2.8,42000000,Retained
Oleksandr Zinchenko,Arsenal,22-25,Midfielder,79,2122,3,3.7,42000000,Retained
Riyad Mahrez,Manchester City,30 and above,Forward,86,1913,17,4.2,42000000,Retained
Elkan Baggott,Manchester City,30 and above,Midfielder,85,2351,14,4.3,40000000,Retained
Ibrahima Konaté,Liverpool,22-25,Defender,81,1551,0,2.7,40000000,Retained
Mateo Kova_i_,Chelsea,26-29,Midfielder,84,1699,3,2,40000000,Retained
Aaron Ramsdale,Arsenal,22-25,Goalkeeper,82,3420,0,3.8,40000000,Retained
Aaron Wan-Bissaka,Manchester United,22-25,Defender,80,1432,0,3.5,40000000,Retained
Allan Saint-Maximin,Newcastle United,22-25,Midfielder,81,1109,7,2.6,40000000,Transferred
Christian Eriksen,Manchester United,30 and above,Midfielder,82,2046,10,3.7,40000000,Retained
Emile Smith Rowe,Arsenal,21 and under,Midfielder,80,161,2,1.5,40000000,Retained
John Stones,Manchester City,26-29,Defender,83,1844,4,4,40000000,Retained
Morgan Gibbs-White,Nottingham Forest,22-25,Midfielder,75,3151,17,3.9,40000000,Retained
Rben Diogo da Silva Neves,Wolverhampton Wanderers,22-25,Midfielder,83,3020,8,3.4,40000000,Retained
Rodrigo Bentancur,Tottenham Hotspur,22-25,Midfielder,79,1501,7,3.9,40000000,Retained
Marc Guéhi,Crystal Palace,21 and under,Defender,78,3330,1,2.6,38000000,Retained
Christian Pulisic,Chelsea,22-25,Midfielder,82,805,2,1.6,38000000,Transferred
James Ward-Prowse,Southampton,26-29,Midfielder,81,3371,13,3.7,38000000,Transferred
Boubacar Kamara,Aston Villa,22-25,Midfielder,80,1773,1,1.8,38000000,Retained
Bryan Mbeumo,Brentford,22-25,Midfielder,75,2905,18,3.9,38000000,Retained
Joe Willock,Newcastle United,22-25,Midfielder,75,2556,10,3.5,38000000,Retained
Leandro Trossard,Brighton & Hove Albion,26-29,Midfielder,79,2237,21,4.3,38000000,Retained
Pedro Lomba Neto,Wolverhampton Wanderers,22-25,Midfielder,78,962,2,2.1,38000000,Retained
Rico Lewis,Manchester City,21 and under,Defender,61,900,0,2.1,38000000,Retained
Cheick Doucouré,Crystal Palace,22-25,Midfielder,76,2770,3,2.2,35000000,Retained
Gonçalo Manuel Ganchinho Guedes,Wolverhampton Wanderers,22-25,Forward,82,703,2,2.2,35000000,Retained
João Maria Palhinha Gonçalves,Fulham,26-29,Defender,81,3108,3,2.4,35000000,Retained
José Diogo Dalot Teixeira,Manchester United,22-25,Defender,78,2152,3,3.9,35000000,Retained
Pervis Estupiñán,Brighton & Hove Albion,22-25,Defender,79,2674,8,3.7,35000000,Retained
Raúl Jiménez,Wolverhampton Wanderers,30 and above,Forward,82,839,2,1.9,35000000,Transferred
Harvey Barnes,Leicester City,22-25,Midfielder,80,2709,15,4.1,35000000,Transferred
Tino Livramento,Southampton,21 and under,Defender,75,26,0,1,35000000,Transferred
Douglas Luiz Soares de Paulo,Aston Villa,22-25,Midfielder,78,2922,13,3.8,35000000,Retained
Eddie Nketiah,Arsenal,22-25,Forward,73,1071,6,2.1,35000000,Retained
Emiliano Buenda,Aston Villa,22-25,Midfielder,80,2404,8,3.1,35000000,Retained
Emiliano Martnez,Aston Villa,26-29,Goalkeeper,84,3139,0,3.8,35000000,Retained
Ezri Konsa,Aston Villa,22-25,Defender,79,3322,0,2.9,35000000,Retained
Harvey Elliott,Liverpool,21 and under,Midfielder,73,1600,3,1.9,35000000,Retained
Joachim Andersen,Crystal Palace,26-29,Midfielder,77,2782,1,2.5,35000000,Retained
Joe Gomez,Liverpool,22-25,Defender,81,1461,0,3.2,35000000,Retained
Kyle Walker,Manchester City,30 and above,Defender,85,1953,0,2.6,35000000,Retained
Leon Bailey,Aston Villa,22-25,Midfielder,80,1964,9,3,35000000,Retained
Lucas Digne,Aston Villa,26-29,Defender,82,1492,1,1.8,35000000,Retained
Miguel Almirn,Newcastle United,26-29,Midfielder,78,2487,15,4.6,35000000,Retained
Pape Matar Sarr,Tottenham Hotspur,21 and under,Midfielder,71,211,1,1.3,35000000,Retained
Yves Bissouma,Tottenham Hotspur,22-25,Midfielder,81,998,0,1.2,35000000,Retained
Robert Lynch Sánchez,Brighton & Hove Albion,22-25,Goalkeeper,77,2070,0,3.6,32000000,Retained
Kieran Tierney,Arsenal,22-25,Defender,81,774,1,1.4,32000000,Transferred
Conor Gallagher,Chelsea,22-25,Midfielder,79,1608,4,1.9,32000000,Retained
John McGinn,Aston Villa,26-29,Midfielder,79,2692,6,2.6,32000000,Retained
Kurt Zouma,West Ham United,26-29,Defender,80,1988,3,3.5,32000000,Retained
Nayef Aguerd,West Ham United,26-29,Defender,80,1594,2,3.2,32000000,Retained
Pierre-Emile Hjbjerg,Tottenham Hotspur,26-29,Midfielder,83,3131,9,3.4,32000000,Retained
Tyrone Mings,Aston Villa,26-29,Defender,78,3150,4,3.7,32000000,Retained
Fábio Daniel Ferreira Vieira,Arsenal,22-25,Midfielder,77,500,3,1.8,30000000,Retained
Aaron Hickey,Brentford,21 and under,Defender,75,1918,3,2.4,30000000,Retained
Armando Broja,Chelsea,21 and under,Forward,75,285,2,1.8,30000000,Transferred
Brenden Aaronson,Leeds United,21 and under,Midfielder,74,2365,5,2.3,30000000,Transferred
Eric Dier,Tottenham Hotspur,26-29,Defender,80,2816,3,2.9,30000000,Transferred
Gianluca Scamacca,West Ham United,22-25,Forward,80,921,3,2.6,30000000,Transferred
Curtis Jones,Liverpool,21 and under,Midfielder,76,1029,4,2.9,30000000,Retained
Diego Carlos Santos Silva,Aston Villa,26-29,Defender,83,205,0,1.3,30000000,Retained
Kiernan Dewsbury-Hall,Leicester City,22-25,Midfielder,75,2305,5,2.6,30000000,Retained
Mathias Jensen,Brentford,26-29,Midfielder,74,2805,12,3.6,30000000,Retained
Scott McTominay,Manchester United,22-25,Midfielder,80,1149,1,1.5,30000000,Retained
Taiwo Awoniyi,Nottingham Forest,22-25,Forward,77,1395,11,3.7,30000000,Retained
Takehiro Tomiyasu,Arsenal,22-25,Defender,79,651,1,1.5,30000000,Retained
Ça_lar Söyüncü,Leicester City,26-29,Defender,78,528,1,2.3,28000000,Retained
Aleksandar Mitrovi_,Fulham,26-29,Forward,78,2010,16,4.5,28000000,Retained
Boubakary Soumaré,Leicester City,22-25,Midfielder,76,1624,0,1.6,28000000,Transferred
Alex Iwobi,Everton,26-29,Midfielder,75,3379,10,3.3,28000000,Transferred
Granit Xhaka,Arsenal,26-29,Midfielder,79,2992,15,4.1,28000000,Transferred
Jack Harrison,Leeds United,22-25,Midfielder,77,2707,13,3.7,28000000,Transferred
Timothy Castagne,Leicester City,26-29,Defender,78,3255,6,3.1,28000000,Transferred
Jordan Pickford,Everton,26-29,Goalkeeper,82,3330,1,3.4,28000000,Retained
Matty Cash,Aston Villa,22-25,Defender,79,1817,2,2.2,28000000,Retained
Michael Keane,Everton,26-29,Defender,79,983,3,3.2,28000000,Retained
Rico Henry,Brentford,22-25,Defender,75,3240,3,3,28000000,Retained
Roberto Firmino Barbosa de Oliveira,Liverpool,30 and above,Forward,83,1202,15,4.2,28000000,Retained
Tyrick Mitchell,Crystal Palace,22-25,Defender,76,2889,2,2.6,28000000,Retained
Vitaliy Mykolenko,Everton,22-25,Defender,76,2653,1,2.2,28000000,Retained
Michael Olise,Crystal Palace,21 and under,Midfielder,76,2743,13,3.6,27000000,Retained
Abdoulaye Doucouré,Everton,26-29,Midfielder,79,1527,7,3,25000000,Retained
Edouard Mendy,Chelsea,30 and above,Goalkeeper,86,855,0,2.4,25000000,Retained
Adam Webster,Brighton & Hove Albion,26-29,Defender,76,1983,0,2.8,25000000,Retained
Alejandro Garnacho Ferreyra,Manchester United,21 and under,Forward,64,557,5,2.1,25000000,Retained
Bernd Leno,Fulham,30 and above,Goalkeeper,80,3240,0,3.9,25000000,Retained
Callum Wilson,Newcastle United,30 and above,Forward,79,1870,24,5.1,25000000,Retained
Anthony Elanga,Manchester United,21 and under,Forward,74,417,1,1.4,25000000,Transferred
Conor Coady,Everton,26-29,Defender,79,2094,2,3.2,25000000,Transferred
Luis Sinisterra,Leeds United,22-25,Forward,80,863,5,2.8,25000000,Transferred
Nathan Collins,Wolverhampton Wanderers,21 and under,Defender,75,1811,0,1.9,25000000,Transferred
David Raya Martin,Brentford,26-29,Goalkeeper,76,3420,0,4.4,25000000,Retained
Davinson S‚àûnchez,Tottenham Hotspur,26-29,Defender,79,848,0,1.6,25000000,Retained
Ruben Loftus-Cheek,Chelsea,26-29,Midfielder,76,1530,1,1.8,25000000,Transferred
James Justin,Leicester City,22-25,Defender,76,1252,2,3.2,25000000,Retained
James Tarkowski,Everton,26-29,Defender,79,3420,2,2.8,25000000,Retained
Jan Bednarek,Aston Villa,26-29,Defender,76,1770,0,1.4,25000000,Retained
Joel Matip,Liverpool,30 and above,Defender,84,1091,1,2.6,25000000,Retained
Kyle Walker-Peters,Southampton,22-25,Defender,78,2650,1,1.8,25000000,Retained
Lewis Dunk,Brighton & Hove Albion,30 and above,Defender,79,3240,2,3.1,25000000,Retained
Max Kilman,Wolverhampton Wanderers,22-25,Defender,77,3307,1,2.9,25000000,Retained
Pablo Fornals Malla,West Ham United,26-29,Midfielder,79,1493,4,2.2,25000000,Retained
Renan Augusto Lodi dos Santos,Nottingham Forest,22-25,Defender,80,2211,2,2,25000000,Retained
Romeo Lavia,Southampton,21 and under,Defender,62,2219,2,2,25000000,Retained
Sean Longstaff,Newcastle United,22-25,Midfielder,74,2514,6,2.8,25000000,Retained
Yoane Wissa,Brentford,22-25,Forward,75,1587,11,2.9,25000000,Retained
Victor Lindelf,Manchester United,26-29,Midfielder,80,1359,0,2.9,24000000,Retained
Ché Adams,Southampton,22-25,Forward,76,1987,10,3.4,22000000,Retained
Sa_a Kalajd_i_,Wolverhampton Wanderers,22-25,Forward,78,45,0,1,22000000,Retained
Saïd Benrahma,West Ham United,26-29,Midfielder,78,2059,9,3,22000000,Retained
Danny Ings,Aston Villa,26-29,Forward,79,1579,10,2.8,22000000,Retained
Dean Henderson,Nottingham Forest,22-25,Goalkeeper,79,1620,0,4.6,22000000,Transferred
Leander Dendoncker,Aston Villa,26-29,Midfielder,76,897,0,1.5,22000000,Transferred
Demarai Gray,Everton,26-29,Forward,77,2501,5,2.8,22000000,Retained
Orel Mangala,Nottingham Forest,22-25,Midfielder,75,1543,2,1.9,22000000,Transferred
Thilo Kehrer,West Ham United,22-25,Defender,76,2229,3,2.5,22000000,Transferred
Dwight McNeil,Everton,22-25,Midfielder,76,2490,12,3.5,22000000,Retained
Illan Meslier,Leeds United,22-25,Goalkeeper,77,3060,0,2.6,22000000,Retained
Issa Diop,Fulham,22-25,Defender,77,2008,1,3.2,22000000,Retained
Jesse Lingard,Nottingham Forest,26-29,Midfielder,78,918,1,1.9,22000000,Retained
Konstantinos Tsimikas,Liverpool,26-29,Defender,77,762,4,2.4,22000000,Retained
Marcos Senesi,AFC Bournemouth,22-25,Defender,78,2489,2,2.2,22000000,Retained
Patrick Bamford,Leeds United,26-29,Forward,78,1510,9,2.5,22000000,Retained
Patson Daka,Leicester City,22-25,Forward,77,1169,8,2.3,22000000,Retained
Rayan A√øt Nouri,Wolverhampton Wanderers,21 and under,Defender,76,1067,1,2,22000000,Retained
Ryan Sessegnon,Tottenham Hotspur,22-25,Midfielder,75,805,3,2.1,22000000,Retained
Trevoh Chalobah,Chelsea,22-25,Defender,76,1601,0,2,22000000,Retained
Tyrell Malacia,Manchester United,22-25,Defender,79,1391,0,2.8,22000000,Retained
Vitaly Janelt,Brentford,22-25,Midfielder,74,2201,4,2.4,22000000,Retained
Fábio Leandro Carvalho,Liverpool,21 and under,Midfielder,73,339,3,2.1,20000000,Retained
Nélson Cabral Semedo,Wolverhampton Wanderers,26-29,Defender,80,2633,1,2.1,20000000,Retained
Naby Keïta,Liverpool,26-29,Midfielder,81,290,0,1.2,20000000,Retained
Antonee Robinson,Fulham,22-25,Defender,74,3088,2,2.7,20000000,Retained
Armel Bella Kotchap,Southampton,21 and under,Defender,73,1881,2,2,20000000,Retained
Ben Davies,Tottenham Hotspur,26-29,Defender,79,0,0,0,20000000,Retained
Christian Nrgaard,Brentford,26-29,Midfielder,76,1763,7,3.2,20000000,Retained
Daniel Castelo Podence,Wolverhampton Wanderers,26-29,Midfielder,78,1760,7,2.9,20000000,Retained
Denis Zakaria,Chelsea,22-25,Midfielder,81,409,0,1.9,20000000,Transferred
Donny van de Beek,Manchester United,22-25,Midfielder,79,162,0,1.1,20000000,Transferred
Jefferson Lerma,AFC Bournemouth,26-29,Midfielder,75,3252,5,2.7,20000000,Transferred
Kepa Arrizabalaga,Chelsea,26-29,Goalkeeper,80,2565,0,4.1,20000000,Transferred
Manor Solomon,Fulham,22-25,Midfielder,76,560,4,2.3,20000000,Transferred
Serge Aurier,Nottingham Forest,26-29,Defender,78,1943,1,2.9,20000000,Transferred
Tyler Adams,Leeds United,22-25,Midfielder,76,2156,0,2,20000000,Transferred
Enock Mwepu,Brighton & Hove Albion,22-25,Midfielder,76,209,1,1.8,20000000,Retained
Wilfried Zaha,Crystal Palace,26-29,Forward,82,2289,9,3.5,20000000,Transferred
Frederico de Paula Santos,Manchester United,26-29,Midfielder,80,1228,5,1.8,20000000,Retained
James Garner,Everton,21 and under,Midfielder,72,796,1,1.6,20000000,Retained
Kieran Trippier,Newcastle United,30 and above,Defender,84,3342,10,5.2,20000000,Retained
Mikkel Damsgaard,Brentford,21 and under,Midfielder,76,970,0,1.3,20000000,Retained
Neco Williams,Nottingham Forest,21 and under,Defender,71,1872,2,1.7,20000000,Retained
Nick Pope,Newcastle United,30 and above,Goalkeeper,81,3261,0,4.2,20000000,Retained
Odsonne Edouard,Crystal Palace,22-25,Forward,76,1788,7,2.3,20000000,Retained
Oliver Skipp,Tottenham Hotspur,21 and under,Midfielder,77,1489,1,1.9,20000000,Retained
Pascal Struijk,Leeds United,22-25,Defender,76,2198,4,2.3,20000000,Retained
Wout Faes,Leicester City,22-25,Defender,77,2786,3,2.5,20000000,Retained
Moussa Niakhaté,Nottingham Forest,26-29,Defender,78,1163,0,1.8,18000000,Retained
Rodrigo Hernández Cascante,Manchester City,26-29,Midfielder,87,2911,8,3,18000000,Retained
Thiago Alcântara,Liverpool,30 and above,Midfielder,86,1252,0,1.7,18000000,Retained
Adam Armstrong,Southampton,22-25,Forward,74,1321,3,1.8,18000000,Retained
Arthur Henrique Ramos Oliveira Melo,Liverpool,22-25,Midfielder,80,0,0,0,18000000,Retained
Ben Godfrey,Everton,22-25,Defender,77,801,1,1.4,18000000,Retained
Crysencio Summerville,Leeds United,21 and under,Midfielder,69,1411,8,2.6,18000000,Retained
Daniel James,Fulham,22-25,Midfielder,77,802,3,1.9,18000000,Retained
Cameron Archer,Aston Villa,21 and under,Forward,70,43,0,1,18000000,Transferred
David Brooks,AFC Bournemouth,22-25,Midfielder,76,170,0,0.8,18000000,Transferred
Lewis Hall,Chelsea,21 and under,Midfielder,60,653,0,2.1,18000000,Transferred
Gavin Bazunu,Southampton,21 and under,Goalkeeper,70,2880,0,2.6,18000000,Retained
Matt Doherty,Tottenham Hotspur,30 and above,Defender,77,663,1,2.9,18000000,Transferred
Mohammed Salisu,Southampton,22-25,Defender,77,1971,1,1.5,18000000,Transferred
Rob Holding,Arsenal,26-29,Defender,77,562,1,1.5,18000000,Transferred
Robin Koch,Leeds United,22-25,Defender,76,3175,0,1.5,18000000,Transferred
Tom Davies,Everton,22-25,Midfielder,75,524,0,1,18000000,Transferred
Yerry Mina,Everton,26-29,Defender,77,594,2,4.7,18000000,Transferred
Harrison Reed,Fulham,26-29,Midfielder,75,2868,7,2.9,18000000,Retained
Idrissa Gueye,Everton,30 and above,Midfielder,82,2577,1,2,18000000,Retained
Lloyd Kelly,AFC Bournemouth,22-25,Defender,73,2040,2,2.6,18000000,Retained
Philippe Coutinho Correia,Aston Villa,30 and above,Midfielder,82,777,1,1.6,18000000,Retained
Tariq Lamptey,Brighton & Hove Albion,21 and under,Defender,75,439,0,1.1,18000000,Retained
Tosin Adarabioyo,Fulham,22-25,Defender,75,2084,1,2,18000000,Retained
Wilfried Gnonto,Leeds United,21 and under,Midfielder,69,1346,6,2.3,18000000,Retained
Alphonse Areola,West Ham United,26-29,Goalkeeper,81,307,0,1.4,17000000,Retained
Jamal Lewis,Newcastle United,22-25,Defender,72,9,0,1,17000000,Transferred
Harry Wilson,Fulham,22-25,Midfielder,76,1085,7,2.3,17000000,Retained
Jonathan Castro Otto,Wolverhampton Wanderers,26-29,Defender,79,1257,1,2.5,17000000,Retained
Keane Lewis-Potter,Brentford,21 and under,Midfielder,71,313,1,1.4,17000000,Retained
Kelechi Iheanacho,Leicester City,22-25,Midfielder,77,1112,10,2.9,17000000,Retained
Marcus Tavernier,AFC Bournemouth,22-25,Midfielder,72,1740,9,4.1,17000000,Retained
Matt Targett,Newcastle United,26-29,Defender,77,600,0,2.1,17000000,Retained
Maxwel Cornet,West Ham United,22-25,Forward,78,232,0,1,17000000,Retained
Andreas Hugo Hoelgebaum Pereira,Fulham,26-29,Midfielder,76,2696,14,3.7,16000000,Retained
Diego Javier Llorente Ros,Leeds United,26-29,Defender,76,648,0,2,16000000,Retained
Josh Dasilva,Brentford,22-25,Midfielder,73,1371,6,2.2,16000000,Retained
Nathan Patterson,Everton,21 and under,Defender,66,1274,0,1.6,16000000,Retained
Adama Traoré Diarra,Wolverhampton Wanderers,26-29,Forward,79,1477,6,1.9,15000000,Retained
Marc Roca Junqué,Leeds United,22-25,Midfielder,76,2316,4,2.1,15000000,Retained
Anthony Martial,Manchester United,26-29,Forward,80,970,9,3.1,15000000,Retained
Carney Chukwuemeka,Chelsea,21 and under,Midfielder,64,342,0,1.3,15000000,Retained
David De Gea Quintana,Manchester United,30 and above,Goalkeeper,87,3420,0,4.2,15000000,Retained
Emerson Leite De Souza,Tottenham Hotspur,22-25,Defender,78,1729,4,3.3,15000000,Retained
Ethan Pinnock,Brentford,26-29,Defender,75,2700,3,3.7,15000000,Retained
Albert Sambi Lokonga,Arsenal,22-25,Midfielder,75,728,0,1.5,15000000,Transferred
Daniel Amartey,Leicester City,26-29,Defender,76,1608,0,2.5,15000000,Transferred
Ibrahima Diallo,Southampton,22-25,Midfielder,74,813,0,1.1,15000000,Retained
Hakim Ziyech,Chelsea,26-29,Forward,83,649,3,1.8,15000000,Transferred
Japhet Tanganga,Tottenham Hotspur,22-25,Defender,74,145,0,1,15000000,Transferred
Neal Maupay,Everton,22-25,Forward,76,1104,1,1.5,15000000,Transferred
Rasmus Kristensen,Leeds United,22-25,Defender,77,1957,4,2,15000000,Transferred
Jacob Murphy,Newcastle United,26-29,Midfielder,73,1230,6,2.2,15000000,Retained
Jan Paul van Hecke,Brighton & Hove Albion,22-25,Defender,71,291,0,0.8,15000000,Retained
